# Generated by tools/wikidata-sweep.js — ids only, screened on Wikidata claims.
# A person gets a card, an institution does not: the sweep requires P31 to be a
# performer type (human, band, duo, comedy troupe, YouTube channel), so
# businesses, universities, nonprofits, labels and TV series never reach here.
# 4493 channels, swept 2026-08-03.
#
# Next:  node tools/add-candidates.js catalog/reach-7.txt

UC01gP51RZY-Mvqm4gRkbRgQ  # Julia Wilde
UCEa0UGciCJbNQ7XGO3lcbHw  # Kaycee Rice
UC7p_I0qxYZP94vhesuLAWNA  # Kilian Q. Weinberger
UCKXi9xGSvkQ-snrclkLdB7g  # Q102359648
UCvWFF09mWvDDvy0g8i_qlmA  # Q102359648
UChp02HdGE5LGumghYmUJarQ  # Yael Aflalo
UCfGGXhJhesIJ-9fdPtIN7yA  # Meaghan Blanchard
UCkNliXLMTPkfPyKtgVhVlig  # Meaghan Blanchard
UCeEbnVyAFJCBZzxVxJdZ9yg  # Victoria Noquez
UC40lhnHowcj6mu6cBZaUGZw  # Van Dennis
UCU93bbC1FChqSjz83jQMkdA  # Baby Nucc Dogg
UCwFjpksBZMEDA0zyIQWvSjA  # Soheil Feizi
UC2THJBSC7u999OuKUm-uWKg  # Devenity Perkins
UCF-XphN3VvGVioJBQOFIQDQ  # William Spaniel
UCJDIGW0ywWw9Kh9_vtwqxXA  # William Spaniel
UC80Diql-lZi_AqhOQWO8mig  # For Tuesday
UCHBTeQiEJUvgxE6DNHEsMjw  # Adrian Howell
UC0xpHqXbZVFLdrspOVt4m5w  # Cassie Wei
UCteFRxuJ7dcgyZACyLnV7dg  # Kaci Kash
UC8Qv-La6vCjC8qgOwEWlo_g  # Naima Penniman
UCEq2mmBydypRUvTlTgm_ghA  # Q Park
UCE0VZGG8dBLJICImGdfq-iQ  # Shelly Fanning
UCHeRQf4uzXlhYPxRrJTP_3A  # Terrence Kentrell Williams
UCQuTngO0qmAcN8mHsEZ6vqA  # Sarah Hinlicky Wilson
UCvvXM9uvYKXgDy3fdXGeJLw  # Masayoshi
UC_wSuaxwUYsJOBZDWwHIQZg  # QuarterJade
UCQM2QW4byyVQr-VyIvW6STA  # QuarterJade
UCTdlqOjSdBTJaOW_nlfFx_g  # QuarterJade
UCvY5S4y4aUy8bZ9CkVXExfQ  # QuarterJade
UC7U3fMxDbiVGSNhxrDob_RA  # MikS
UC9GGg-hEsRqa9KGdDOHlFNQ  # Gautam Srikishan
UCtTWOND3uyl4tVc_FarDmpw  # Q104167255
UCAmf2EtKE_zmrrMR56v2BUw  # QuarterJade
UCAGDldVt9Z6c3N7EcU_ZNjw  # Q104413316
UCliG4T2WRPUkpRnm8JIYtYw  # Sebastien Lepine
UCSFy-1JrpZf0tFlRZfo-Rvw  # Sydney Watson
UCblGuuU5c-CYqasi25xXXVQ  # starsmitten
UCJ_jwWjf8u5mdtac71Be8QA  # Hildegard von Blingin'
UCL5ZjPWL3o19MC6rxEATk6w  # Lewis Spears
UCIHvcxxl5YI4nS6vH5efbjA  # Kayslee Collins
UCnkBNJhEPLCWTLQNMu94tmQ  # Kayslee Collins
UCF-NWYWndiEIH3J0abYR8tw  # Nina Drama
UCR1WiYS2XiSuAAzzR29Wlyw  # Hot Money
UCSsT4fT4Rn3gfp7iO0OeCqw  # Q104413968
UCEuIwZd450m6siGwVwieGYQ  # Mike Hall
UCCuoJNfQS8xAgL0oXnZv3Jg  # Oktopus
UCqvrM668fkXfylrU1uaMjjA  # Royce Caldwell
UCPNDT6IuAS-llRol3q6fY5w  # Royce Caldwell
UCBCYyoPqfvZc0fvDvS16z3A  # Monchy
UCPeOzstGV1FB0cGSBg2piDg  # Q104670319
UCsY94ljKzTlXNueC2m3hf-A  # boxbox
UCke6I9N4KfC968-yRcd5YRg  # SSundee
UCMWsPuCzA91xIZxvglfYQQw  # Brooke Ashley
UC680QCpzuIx-qKqsZmIPWQg  # peterparktv
UCe2K4AZFyRA4luDN_Tkn6xg  # peterparktv
UCASNUHZokqtUlovsqheIOnA  # Wendy K. Moy
UCRwczJ_nk1t9IGHyHfHbXRQ  # Q104785190
UCsJBJmhRP-GxuGsePpnNtIw  # Alex Richardson
UCitxA9Sa_GxxGSqNJEWRbuA  # AriaSaki
UCLzfXcb7QhNuySTn1QDrRow  # AriaSaki
UCV91XNap-3VElAA_Falg6oQ  # Repulsive Vision
UCuf9I2DBrN2E1fP5hTdMKlg  # H3CZ
UCHEPEerYynL_4vuC1Kw3Eog  # Manga Saint Hilare
UCoNTMWgGuXtGPLv9UeJZwBw  # Bryce Langston
UCain-nqOtpqevnbPYpaCQMQ  # Raymond Lussier
UCj8YcC_hUEhSZivS0co1r4w  # Brooke Houts
UCoUejlZmOM5OjaMZHn4CTDw  # Brooke Houts
UCHlyUpm1aegw-CNXzfRqg3A  # The Chronicles of Manimal and Samara
UCO2tRrbS1r3h6bFcN-pecCw  # Craig Skistimas
UCJYlDjXhfiP8YZTM9Q0bpGQ  # Lyra
UCGc8ZVCsrR3dAuhvUbkbToQ  # City Beautiful
UCkMGaNbGZXHxTvdIFIewz6Q  # D.S. Bradford
UCUhYEP9k6PN7Y4orTy-2S5A  # Q104970339
UCDTDcApX-FylzOrz6QjNwZA  # Beddy Rays
UC1WLZ7NIAnU_Vgp0lQTXrCQ  # Andréa Saunier
UC9WWaa6Y7D9RqVXgBUyUF8A  # Chrystelle Maechler
UCUxkfYaIULUO7llopXXoM0w  # Valérie Lecomte
UCC25d124X0OgEsYTEt8BMPg  # Patrick Ta
