# Generated by tools/wikidata-sweep.js --sitelink en — ids only, screened on Wikidata claims.
# A person gets a card, an institution does not: the sweep requires P31 to be a
# performer type (human, band, duo, comedy troupe, YouTube channel), so
# businesses, universities, nonprofits, labels and TV series never reach here.
# 11343 channels, swept 2026-08-16 (run in two batches: shard 1 alone, then
# shards 2-9 together, since shard 1 alone already returned ~50k raw rows).
#
# Next:  node tools/add-candidates.js catalog/reach-10.txt

UC05G_SficL1XFNrHu5T43Gg  # Wilber Pan
UC05WaqA-0OLM5Y7NmmHq1hw  # As I Lay Dying
UC05eluGxsI8_xf5uRC-J26Q  # Anuel AA
UC05irBQFIIgHnAK5a2bosdQ  # Hyper
UC079ZRJ8ywt9xmx1gPqAK1w  # Walt Ribeiro
UC07F26kHKkpW_qqvXzEGALA  # Randy Rainbow
UC07ZTiBUTi6qMu74EGZY8DA  # Imogen Heap
UC08jxjsTE4I1N-LcVxSn_9A  # Jarrod Alonge
UC08nqw3NQERl0-zFrLZbN-Q  # Matisyahu
UC0946nS6sk6G_0VV3gHPmkA  # Whipped Cream
UC09ddi2PE0Y7NrqKSOJHSvw  # Donovan
UC09fp6hZ2RHiUYwY8hNCirA  # Liv Boeree
UC09rCtuyhWEQKCgF0xgJbSw  # David Tao
UC09rjW-THj6e3WgMKSc5Bvg  # Kings of Leon
UC09zihswoiqqaVcxzTuuRGg  # Anne Clark
UC0A67jnNwmHPjOu6dfytv4w  # Shooter Jennings
UC0AWti1Bd8auga_hb83SCxw  # Moose Blood
UC0AgLcvtuLDXgU6-5yZhEqQ  # Julie Fowlis
UC0AqwYovalxngrN9eVyiUXg  # Q17512993
UC0AxsSOOvfqohTAbotpQUbQ  # Steve Martin
UC0BmkegJh3Od2K0HMeegn-g  # James L. Venable
UC0C-w0YjGpqDXGB8IHb662A  # Q47447
UC0Cjv7gQjn9ii_iBK-Yg5Xw  # Okan
UC0CmhrPASzP-Khlww69h06Q  # Leah Felder-Jenner
UC0D4TPONTJ6cppMxQ9SD97g  # Chloé Lukasiak
UC0EJcHG0BroNbmg_dNdLKmA  # Sian Evans
UC0F7ZpEq6-Ck2XcR4V3gDdA  # The Peth
UC0FAPPxkgxmSkd-70Pnnc8w  # LilyPichu
UC0FY2mxHdVGnl0uGxrJ8k-w  # Jack Chesher
UC0FYu_y60kPc8956lOYQpUw  # Shane Bugbee
UC0FsrLRlwjOwZNTQZxsyhoQ  # Nicco
UC0HCw4a0vbmNvh45q3Ns8Cg  # Patti Negri
UC0HoNS_yCn9exrahXJZYm9g  # Kori King
UC0I8H_09f1iGog9Sz15wa8A  # Paul Robertson
UC0IiUHU-j6xnQ8vk4-uiY8w  # Murs
UC0Ize0RLIbGdH5x4wI45G-A  # Drew Binsky
UC0KAFLxIiaR_FFNYDL3utGw  # ASAP Rocky
UC0KHEl9mFR7kbEBF2_5j8lg  # Vanessa Hudgens
UC0KW6ntu-vpk8FJQjdDandA  # The Dears
UC0Kgvj5t_c9EMWpEDWJuR1Q  # Q80805
UC0KjRhuadA6Tca6cPPCHthg  # The Dudes
UC0KkQzV-XvTLTToZbs2PrBw  # Sam Hyde
UC0M0rxSz3IF0CsSour1iWmw  # Cinemassacre Productions
UC0NV5iRVirkMhR9XJbZoePQ  # Alien Weaponry
